TIME,01/05/18,02/05/18,03/05/18,04/05/18,05/05/18,06/05/18,07/05/18,08/05/18,09/05/18,10/05/18,11/05/18,12/05/18,13/05/18,14/05/18,15/05/18,16/05/18,17/05/18,18/05/18,19/05/18,20/05/18,21/05/18,22/05/18,23/05/18,24/05/18,25/05/18,26/05/18,27/05/18,28/05/18,29/05/18,30/05/18,31/05/18,,Modal Day,,,Minutes,Hours
12:00,exercise,phd work,phd work,phd work,life admin,projects,phd work,phd work,outreach,shopping,phd work,housework,soc rel,food,phd work,phd work,phd work,housework,phd work,projects,phd work,phd work,phd admin,phd admin,phd admin,board games,video games,projects,phd admin,phd admin,life admin,,phd work,,,,
12:20,exercise,phd work,phd work,phd work,soc rel,projects,phd work,phd work,travel,food,phd work,housework,travel,food,food,food,phd work,life admin,phd work,projects,phd work,food,phd admin,phd admin,phd admin,board games,video games,family time,phd work,phd admin,life admin,,phd work,,,,
12:40,exercise,food,food,food,soc rel,projects,phd work,food,shopping,food,food,soc rel,shopping,soc rel,food,food,food,life admin,phd work,food,food,soc rel,food,food,food,food,housework,family time,food,food,travel,,food,,,,
13:00,relaxing,relaxing,food,soc rel,food,projects,phd work,food,food,soc rel,soc rel,food,shopping,phd admin,soc rel,soc rel,soc rel,projects,phd work,food,soc rel,soc rel,soc rel,food,food,food,family time,family time,soc rel,soc rel,travel,,soc rel,,,,
13:20,food,phd work,soc rel,relaxing,food,hygiene,phd work,relaxing,food,relaxing,soc rel,food,travel,phd admin,soc rel,phd work,soc rel,projects,food,tv,relaxing,phd work,soc rel,soc rel,soc rel,housework,food,food,soc rel,soc rel,travel,,soc rel,,,,
13:40,food,phd work,phd admin,phd work,soc rel,food,phd work,phd work,phd work,outreach,phd work,phd admin,food,phd admin,phd work,phd work,phd work,travel,food,tv,phd work,phd work,phd admin,phd admin,phd admin,life admin,food,food,phd work,relaxing,travel,,phd work,,,,
14:00,phd admin,phd admin,phd admin,phd work,housework,tv,food,phd admin,phd admin,phd admin,phd work,phd admin,food,phd admin,phd admin,phd admin,phd work,travel,tv,travel,phd work,phd admin,phd admin,phd admin,phd admin,life admin,food,relaxing,phd admin,phd admin,food,,phd admin,,,,
14:20,phd admin,phd admin,phd admin,phd work,life admin,food,food,phd admin,phd admin,phd admin,phd work,phd admin,projects,relaxing,phd admin,phd admin,phd work,travel,phd work,tv,phd work,phd admin,phd admin,phd admin,phd admin,housework,food,family time,phd admin,phd admin,food,,phd admin,,,,
14:40,phd admin,phd admin,phd work,relaxing,life admin,tv,tv,phd admin,phd admin,phd admin,relaxing,phd admin,projects,phd work,phd admin,phd admin,phd work,travel,phd work,tv,phd work,phd admin,phd admin,housework,relaxing,travel,family time,relaxing,phd admin,phd admin,qt,,phd admin,,,,
15:00,phd admin,phd admin,soc rel,phd work,soc rel,tv,tv,phd admin,phd admin,phd admin,phd work,phd admin,projects,phd work,phd admin,phd admin,phd work,travel,phd work,tv,phd work,phd admin,phd admin,housework,phd admin,travel,family time,relaxing,phd admin,life admin,travel,,phd admin,,,,
15:20,phd admin,phd admin,phd work,phd work,soc rel,phd work,qt,phd admin,phd admin,relaxing,phd work,soc rel,projects,phd work,phd admin,phd admin,phd work,travel,relaxing,tv,relaxing,phd work,phd admin,phd admin,phd admin,travel,family time,relaxing,phd admin,life admin,qt,,phd admin,,,,
15:40,phd admin,phd admin,phd work,phd work,travel,phd work,tv,relaxing,relaxing,phd admin,phd work,phd admin,phd admin,phd work,phd admin,phd admin,phd work,travel,phd work,tv,phd work,relaxing,phd admin,phd admin,phd admin,travel,family time,family time,phd work,relaxing,qt,,phd admin,,,,
