TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
7:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,travel,sleep,sleep,phd work,phd work,phd work,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Shopping,400,6.67
7:40,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,travel,sleep,sleep,travel,travel,misc recreation,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,,sleep,,Misc Recreation,660,11.00
8:00,food,hygiene,hygiene,hygiene,hygiene,sleep,sleep,outreach,sleep,sleep,travel,sleep,sleep,misc recreation,sleep,misc recreation,food,sleep,hygiene,sleep,sleep,hygiene,sleep,sleep,sleep,hygiene,sleep,sleep,food,relaxing,qt,,sleep,,,,
8:20,relaxing,food,food,food,food,sleep,sleep,outreach,sleep,hygiene,travel,sleep,sleep,misc recreation,sleep,misc recreation,life admin,sleep,food,sleep,sleep,housework,food,food,food,food,sleep,qt,relaxing,relaxing,qt,,sleep,,,,
8:40,life admin,relaxing,relaxing,relaxing,projects,sleep,sleep,outreach,hygiene,food,travel,hygiene,sleep,sleep,sleep,travel,travel,sleep,relaxing,sleep,sleep,food,relaxing,relaxing,food,food,sleep,qt,shopping,hygiene,hygiene,,sleep,,,,
9:00,travel,life admin,phd work,travel,travel,sleep,sleep,outreach,housework,relaxing,travel,food,sleep,sleep,sleep,sleep,travel,food,travel,sleep,sleep,relaxing,travel,travel,travel,travel,qt,sleep,travel,travel,relaxing,,travel,,,,
9:20,phd admin,travel,soc rel,phd work,phd work,sleep,qt,outreach,food,travel,travel,food,sleep,sleep,sleep,sleep,travel,relaxing,travel,sleep,sleep,travel,shopping,phd work,phd admin,phd work,qt,sleep,phd work,phd work,food,,sleep,,,,
9:40,phd admin,phd work,travel,phd work,phd work,qt,qt,outreach,travel,phd admin,travel,food,sleep,sleep,sleep,sleep,travel,travel,travel,qt,sleep,shopping,phd work,phd work,phd admin,phd work,hygiene,sleep,phd admin,phd work,food,,phd work,,,,
10:00,phd admin,phd work,travel,phd work,phd work,qt,qt,outreach,phd work,phd admin,travel,soc rel,sleep,sleep,sleep,sleep,travel,phd work,projects,qt,sleep,phd work,phd work,phd admin,phd admin,phd work,food,sleep,phd admin,phd work,phd work,,phd work,,,,
10:20,phd admin,phd work,travel,phd work,phd work,qt,housework,outreach,phd work,phd admin,travel,relaxing,sleep,sleep,sleep,sleep,travel,phd work,soc rel,food,qt,phd work,phd work,phd admin,phd admin,phd work,food,hygiene,phd admin,phd admin,phd work,,phd work,,,,
10:40,phd admin,phd work,travel,phd work,phd work,hygiene,food,outreach,phd work,phd admin,travel,life admin,sleep,sleep,sleep,sleep,travel,phd work,phd work,food,hygiene,phd work,phd work,phd admin,phd admin,phd work,qt,food,phd admin,phd admin,phd work,,phd work,,,,
11:00,phd admin,phd work,projects,soc rec,phd work,food,tv,outreach,phd work,phd admin,travel,travel,sleep,sleep,sleep,sleep,travel,soc rel,phd work,tv,travel,phd work,phd work,phd work,phd admin,phd work,housework,food,phd admin,phd admin,phd work,,phd work,,,,
11:20,phd admin,phd work,projects,soc rec,phd work,shopping,food,outreach,phd work,phd admin,travel,travel,sleep,sleep,sleep,sleep,travel,soc rel,phd work,housework,shopping,phd work,phd work,phd work,soc rel,phd work,housework,projects,phd admin,phd work,phd work,,phd work,,,,
11:40,phd admin,phd work,projects,phd work,phd work,travel,tv,outreach,phd work,shopping,travel,travel,relaxing,sleep,sleep,sleep,travel,travel,phd work,qt,food,phd work,phd work,phd work,phd admin,phd work,housework,shopping,phd admin,phd work,phd work,,phd work,,,,
12:00,phd admin,food,food,phd work,phd work,food,qt,outreach,phd work,food,travel,travel,phd work,sleep,sleep,sleep,travel,phd admin,projects,tv,food,soc rec,phd work,shopping,phd admin,phd work,housework,shopping,food,shopping,food,,phd work,,,,
12:20,shopping,soc rel,soc rel,phd work,food,housework,qt,outreach,food,soc rel,travel,life admin,phd work,sleep,sleep,sleep,travel,travel,phd work,tv,tv,soc rec,food,food,food,phd work,housework,travel,soc rel,food,food,,food,,,,
