TIME,01/06/18,02/06/18,03/06/18,04/06/18,05/06/18,06/06/18,07/06/18,08/06/18,09/06/18,10/06/18,11/06/18,12/06/18,13/06/18,14/06/18,15/06/18,16/06/18,17/06/18,18/06/18,19/06/18,20/06/18,21/06/18,22/06/18,23/06/18,24/06/18,25/06/18,26/06/18,27/06/18,28/06/18,29/06/18,30/06/18,,Modal Day,,,Minutes,Hours
14:00,qt,qt,food,phd work,phd admin,life admin,projects,projects,golf,projects,phd admin,outreach,phd admin,phd work,tv,travel,tv,tv,food,phd admin,phd work,phd work,tv,tv,relaxing,phd work,phd admin,outreach,phd work,housework,,phd work,,,,
14:20,qt,food,tv,phd work,phd admin,life admin,phd work,projects,golf,projects,phd work,outreach,phd admin,phd work,tv,travel,tv,phd work,tv,phd admin,phd work,phd work,tv,tv,phd work,phd work,phd admin,outreach,phd work,relaxing,,phd work,,,,
14:40,food,qt,projects,phd work,phd admin,phd work,phd work,phd work,golf,food,phd work,outreach,phd admin,phd work,life admin,travel,qt,phd work,relaxing,phd admin,phd work,phd work,housework,soc rel,phd work,relaxing,phd admin,outreach,phd work,projects,,phd work,,,,
15:00,food,qt,projects,relaxing,phd admin,phd work,phd work,phd work,golf,food,phd work,outreach,phd admin,projects,life admin,travel,qt,relaxing,relaxing,travel,relaxing,phd work,projects,soc rel,phd work,phd work,phd admin,outreach,soc rel,relaxing,,phd work,,,,
15:20,travel,qt,projects,phd work,travel,phd work,phd work,phd work,golf,qt,phd work,outreach,relaxing,projects,life admin,travel,housework,phd work,relaxing,housework,phd work,relaxing,projects,travel,phd work,phd work,phd admin,outreach,soc rel,relaxing,,phd work,,,,
15:40,travel,qt,life admin,phd work,relaxing,relaxing,phd work,phd work,golf,housework,relaxing,outreach,phd work,projects,travel,travel,housework,phd work,tv,relaxing,phd work,phd work,projects,qt,phd work,phd work,phd admin,outreach,phd work,travel,,phd work,,,,
16:00,travel,qt,food,relaxing,phd work,phd work,relaxing,phd work,golf,qt,phd work,outreach,phd work,soc rel,travel,travel,qt,tv,tv,tv,relaxing,phd work,projects,qt,phd work,phd work,phd work,outreach,phd work,travel,,phd work,,,,
16:20,shopping,qt,tv,phd work,phd work,phd work,phd work,phd work,golf,qt,phd work,relaxing,phd work,soc rel,travel,travel,tv,phd work,tv,tv,phd work,phd work,projects,projects,relaxing,phd work,tv,travel,phd work,soc rec,,phd work,,,,
16:40,shopping,qt,tv,phd work,phd work,relaxing,phd work,phd work,soc rel,qt,phd work,phd work,phd work,soc rel,travel,travel,tv,phd work,phd admin,phd work,relaxing,phd work,hygiene,projects,phd work,phd work,tv,soc rec,phd work,tv,,phd work,,,,
17:00,qt,travel,tv,phd work,relaxing,phd work,phd work,phd work,soc rel,housework,relaxing,phd work,phd work,soc rel,travel,travel,tv,phd work,phd admin,phd work,phd work,soc rec,travel,projects,phd work,relaxing,relaxing,soc rec,phd work,soc rec,,phd work,,,,
17:20,qt,travel,tv,relaxing,phd work,relaxing,soc rec,travel,soc rel,housework,phd work,phd work,phd work,soc rel,travel,shopping,tv,tv,housework,tv,soc rel,soc rec,travel,projects,phd work,phd work,phd work,soc rec,phd work,soc rec,,phd work,,,,
17:40,qt,travel,tv,phd work,phd work,phd work,food,soc rel,soc rel,qt,phd work,phd work,travel,soc rel,travel,travel,housework,tv,housework,tv,food,soc rec,shopping,projects,relaxing,phd work,phd work,soc rec,travel,soc rec,,phd work,,,,
18:00,qt,food,tv,shopping,relaxing,food,phd admin,soc rel,soc rel,qt,phd work,phd work,relaxing,soc rec,travel,soc rel,qt,shopping,tv,food,phd admin,soc rec,travel,projects,phd work,relaxing,relaxing,food,life admin,soc rec,,qt,,,,
18:20,qt,food,travel,shopping,soc rel,d&d,phd admin,soc rel,travel,qt,shopping,soc rel,exercise,soc rec,travel,soc rel,qt,travel,food,food,phd admin,soc rec,food,hygiene,relaxing,relaxing,travel,soc rec,travel,soc rec,,food,,,,
18:40,qt,hygiene,travel,travel,food,d&d,phd admin,soc rel,travel,qt,travel,food,exercise,food,travel,soc rel,food,food,food,soc rel,phd admin,soc rec,food,housework,phd work,food,soc rec,soc rec,travel,soc rec,,food,,,,
19:00,qt,travel,travel,food,soc rec,d&d,travel,soc rel,travel,food,food,soc rec,exercise,d&d,qt,soc rel,food,food,tv,food,d&d,travel,food,food,travel,soc rec,soc rec,soc rel,travel,soc rec,,food,,,,
19:20,qt,qt,travel,exercise,soc rec,d&d,qt,soc rel,travel,food,food,soc rec,hygiene,d&d,qt,soc rel,food,tv,tv,tv,d&d,shopping,food,food,relaxing,soc rec,soc rec,d&d,family time,tv,,food,,,,
19:40,food,qt,travel,exercise,soc rec,d&d,qt,soc rel,shopping,food,food,soc rec,food,d&d,qt,soc rel,qt,tv,tv,tv,d&d,food,tv,food,exercise,soc rec,soc rec,d&d,family time,food,,food,,,,
20:00,food,food,travel,exercise,soc rec,d&d,qt,shopping,food,food,food,soc rec,food,d&d,qt,soc rel,housework,tv,tv,tv,d&d,food,tv,food,exercise,soc rec,food,d&d,food,tv,,food,,,,
20:20,food,food,travel,hygiene,soc rec,d&d,soc rel,travel,food,qt,soc rel,soc rec,relaxing,d&d,qt,food,housework,tv,tv,tv,d&d,food,tv,tv,hygiene,soc rec,soc rec,d&d,food,tv,,food,,,,
20:40,qt,food,travel,food,soc rec,d&d,soc rel,food,food,housework,housework,soc rec,food,d&d,qt,food,tv,tv,tv,tv,d&d,housework,soc rel,qt,food,soc rec,food,d&d,food,food,,food,,,,
21:00,qt,travel,hygiene,food,shopping,d&d,soc rel,food,soc rel,housework,projects,travel,housework,d&d,qt,food,housework,tv,relaxing,housework,d&d,housework,travel,housework,housework,travel,food,d&d,travel,food,,housework,,,,
21:20,qt,life admin,housework,tv,travel,d&d,soc rel,food,soc rel,housework,projects,soc rel,soc rel,d&d,qt,tv,housework,housework,relaxing,relaxing,d&d,relaxing,soc rec,video games,projects,soc rel,soc rec,d&d,family time,food,,soc rel,,,,
21:40,food,life admin,soc rel,tv,life admin,soc rel,board games,soc rel,soc rel,housework,projects,soc rel,d&d,d&d,qt,tv,relaxing,relaxing,relaxing,housework,d&d,projects,soc rec,video games,projects,soc rel,travel,d&d,family time,tv,,soc rel,,,,
22:00,tv,life admin,soc rel,tv,video games,travel,board games,soc rel,soc rel,housework,projects,housework,d&d,soc rel,qt,qt,tv,reading,relaxing,relaxing,soc rel,relaxing,soc rec,video games,food,soc rel,soc rel,d&d,family time,soc rec,,soc rel,,,,
22:20,tv,qt,housework,qt,video games,phd work,board games,board games,soc rel,housework,relaxing,projects,d&d,shopping,qt,qt,tv,reading,relaxing,relaxing,shopping,projects,soc rec,video games,food,soc rel,soc rel,soc rel,family time,soc rec,,qt,,,,
22:40,tv,qt,housework,soc rel,video games,phd work,board games,video games,board games,housework,relaxing,exercise,soc rel,travel,qt,food,tv,sleep,relaxing,relaxing,travel,qt,soc rec,soc rel,relaxing,hygiene,soc rel,travel,family time,soc rec,,relaxing,,,,
23:00,tv,qt,housework,food,video games,soc rel,board games,video games,board games,housework,hygiene,exercise,soc rel,soc rel,travel,qt,tv,sleep,relaxing,relaxing,housework,qt,soc rec,housework,relaxing,projects,soc rel,hygiene,qt,soc rec,,housework,,,,
23:20,tv,qt,tv,soc rel,video games,phd work,board games,video games,board games,relaxing,reading,hygiene,relaxing,projects,travel,qt,tv,sleep,relaxing,reading,projects,qt,soc rec,projects,relaxing,relaxing,hygiene,relaxing,qt,soc rec,,relaxing,,,,
23:40,tv,qt,projects,relaxing,video games,relaxing,soc rel,video games,board games,projects,reading,projects,reading,relaxing,qt,qt,reading,sleep,sleep,reading,relaxing,qt,soc rec,relaxing,relaxing,relaxing,projects,qt,qt,soc rec,,relaxing,,,,
